,上映日期,片名,类型,制片国家/地区,想看,ID,导演,主演
41,06月27日,少年的你,剧情 / 爱情,中国大陆,42972人,30166972,曾国祥,周冬雨|易烊千玺|尹昉|黄觉|吴越|周也|张耀|张艺凡|赵润南
42,06月28日,蜘蛛侠：英雄远征,动作 / 科幻 / 冒险,美国,66240人,26931786,乔·沃茨,汤姆·赫兰德|赞达亚|玛丽莎·托梅|杰克·吉伦哈尔|寇碧·史莫德斯|塞缪尔·杰克逊|乔恩·费儒|安格瑞·赖斯|马丁·斯塔尔|瑞米·海依|纽曼·阿卡|托尼·雷沃罗利|雅各布·巴特朗|J·B·斯穆夫|赫米基·马德拉|戴维娜·西塔拉姆|约瑟夫·朗|露丝·霍洛克斯|哈廷·帕特尔|杰罗恩·凡·康宁斯伯格|列尼斯·德洛桑托斯|查利·蕾娅·埃斯奎尔|费斯·洛根
43,06月28日,回到过去拥抱你,爱情 / 奇幻,中国大陆,2615人,27073835,花明,侯明昊|彭昱畅|盖玥希|马可|黄龄|甘宇喆|明子煜|王超|金阳|任山|周恒乐|丁志勇|高蓓蓓|魏晨|陈皓
44,06月28日,超级的我,奇幻 / 冒险,中国大陆,616人,26816376,张翀,王大陆|宋佳|曹炳琨|吴刚|金燕玲|金士杰|王紫逸|马精武|曾江|张颂文|冯瓅|岳小军|谢东燊|张宁江|蔡文静|刘陆
45,06月28日,歌唱动荡的青春,剧情 / 爱情,中国大陆,610人,33428718,杨涧华,谭小雅|张晨|张漪妮|姚程琨|王海舰
46,06月28日,封口之谜,剧情 / 犯罪 / 悬疑,中国大陆,99人,33393403,徐捷,冯伟力|文铭|景涛|徐曼征|杨志刚 |李慧  |祝靖涵|常玲|苗家诚 |张亮亮 
47,06月,机动战士高达NT,战争 / 科幻 / 动画,日本,988人,30201138,吉沢俊一,榎木淳弥|村中知|松浦爱弓|梅原裕一郎|村濑步|古川慎|盐田朋子|寺杣昌纪|中井和哉|山路和弘|星野贵纪|佐藤せつじ|驹田航|荒井勇树|岛田岳洋|玉野井直樹|中村文徳|横沟菜帆
48,07月02日,别岁,剧情,中国大陆,189人,33396232,张琪东,袁忠远|龚格尔|杨乔木|魏斯婷|朱峰|郭进
49,07月05日,八佰,剧情 / 历史 / 战争,中国大陆,26444人,26754233,管虎,张译|姜武|王千源|黄志忠|侯勇|刘晓庆|阮经天|姚晨|杜淳|李晨|郑恺|黄晓明|魏晨|欧豪|唐艺昕|俞灏明|余皑磊|梁静|马精武|李九霄|辛柏青|张俊一|张承|张宥浩|徐乐同|高爽|徐嘉雯
50,07月05日,爱宠大机密2,喜剧 / 动画 / 冒险,美国,12610人,26848167,克里斯·雷纳德,凯文·哈特|哈里森·福特|珍妮·斯蕾特|蒂凡尼·哈迪斯|帕顿·奥斯瓦尔特|尼克·克罗尔|艾瑞克·斯通斯崔特|艾丽·坎伯尔|蕾克·贝尔|达纳·卡维|汉尼拔·布勒斯|鲍比·莫尼汉|皮特·霍尔姆斯|加斯·詹宁斯
